NOBILIS,NOMBRE,SEXO*,NIVEL,EMERITO,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ESTADO,,,,,,,,,,,
DRA.,"UGARTECHEA CHIRINO,YAMEL SONIA",M,C,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE CIENCIAS,MORELOS,,,,,,,,,,,
DR.,"GALINDO HERNANDEZ,FELIX",H,1,,INSTITUTO TECNOLOGICO DE CIUDAD MADERO,INSTITUTO TECNOLOGICO DE CIUDAD MADERO,TAMAULIPAS,,,,,,,,,,,
DR.,"ORANTE BARRON,VICTOR RAMON",H,C,,UNIVERSIDAD DE SONORA,UNIDAD REGIONAL CENTRO (HERMOSILLO),SONORA,,,,,,,,,,,
DR.,"ORTIZ ARANGO,FRANCISCO",H,1,,UNIVERSIDAD PANAMERICANA,CAMPUS DISTRITO FEDERAL,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PESCADOR ROJAS,JOSE ALFREDO",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,HIDALGO,,,,,,,,,,,
DRA.,"BERNAL MARTINEZ,LUZ RAQUEL",M,C,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,FACULTAD DE CIENCIAS AGRICOLAS,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"BENVENUTA TAPIA,JUAN JOS?",H,1,,"GRUPO KOU, S.A.B. DE C.V.","RESIRENE, S.A. DE C.V.",TLAXCALA,,,,,,,,,,,
DRA.,"CARRILLO FARGA,ANA MARIA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE MEDICINA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JIMENEZ HERNANDEZ,HUGO",H,1,,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,QUERETARO,,,,,,,,,,,
DR.,"SALINAS SANCHEZ,DAVID OSVALDO",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,MORELOS,,,,,,,,,,,
DR.,"OLIVA GËMEZ,EDUARDO",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE DERECHO Y CIENCIAS SOCIALES,MORELOS,,,,,,,,,,,
DRA.,"TOXQUI LOPEZ,SANTA",M,C,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE INGENIERIA,PUEBLA,,,,,,,,,,,
DRA.,"HERNANDEZ FLORES,EDIT",M,C,,UNIVERSIDAD AUTONOMA DE TLAXCALA,FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES,TLAXCALA,,,,,,,,,,,
M. EN C.,"MATA MARIN,JOSE ANTONIO",H,1,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,CENTRO MEDICO NACIONAL LA RAZA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ROJAS MOLINA,ADRIANA",M,C,,UNIVERSIDAD AUTONOMA DE QUERETARO,FACULTAD DE INGENIERIA,QUERETARO,,,,,,,,,,,
M. EN C.,"ESCOBEDO ORTEGON,FRANCISCO JAVIER",H,1,,UNIVERSIDAD AUTONOMA DE YUCATAN,CENTRO DE INVESTIGACIONES REGIONALES DR. HIDEYO NOGUCHI,YUCATAN,,,,,,,,,,,
DRA.,"ZARATE SEGURA,PAOLA BERENICE",M,C,,INSTITUTO POLITECNICO NACIONAL,UNIDAD PROFESIONAL INTERDISCIPLINARIAS DE BIOTECNOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MORALES CUETO,RODRIGO",H,C,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACIONES QUIMICAS,MORELOS,,,,,,,,,,,
DR.,"ROJAS RAMIREZ,JUAN SALVADOR",H,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"MARTINEZ TREJO,GUILLERMINA",M,C,,INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES Y AGROPECUARIAS,CIR DEL CENTRO (MEX.),"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"ZAZUETA BELTRAN,JORGE LUIS",H,1,,SECRETARIA DE SALUD,SERCICIOS DE SALUD EN SINALOA,SINALOA,,,,,,,,,,,
DR.,"RAMIREZ Y AVILES,LUIS",H,1,,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,YUCATAN,,,,,,,,,,,
DR.,"EQUIHUA GUILLEN,FABIAN",H,1,,UNIVERSIDAD AUTONOMA DE COAHUILA,UNIDAD NORTE MONCLOVA,COAHUILA,,,,,,,,,,,
DRA.,"RIVAS FUENTES,SELMA CELINA",M,C,,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,DIRECCION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ROMERO LOZOYA,MARISOL",M,C,,UNIVERSIDAD AUTONOMA DE SINALOA,UNIDAD REGIONAL CENTRO NORTE,SINALOA,,,,,,,,,,,
DRA.,"GONZ?LEZ LUNA,MAR?A DE LOS ?NGELES",M,C,,UNIVERSIDAD AUTONOMA DE CHIAPAS,CAMPUS I TUXTLA GUTIERREZ,CHIAPAS,,,,,,,,,,,
DR.,"BERNAL JAQUEZ,ROBERTO",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"EHRENFELD LENKIEWICZ,NOEMI",M,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JIMENEZ ALEMAN,OMAR",H,C,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERIAS,JALISCO,,,,,,,,,,,
DR.,"PAVËN CU?LLAR,DAVID",H,1,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,ESCUELA DE PSICOLOGIA,MICHOACAN,,,,,,,,,,,
DRA.,"MARTINEZ GONZALEZ,CLAUDIA LIZBETH",M,C,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ROSAS LANDA LOUSTAU,EMILYE",M,C,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE MATEMATICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MEDINA LOPEZ,MANUEL EUSEBIO",H,C,,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,VERACRUZ,,,,,,,,,,,
DRA.,"MACIAS RODRIGUEZ,MARIA ESTHER",M,1,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERIAS,JALISCO,,,,,,,,,,,
DRA.,"MACIAS LAMAS,ADRIANA MACARIA",M,C,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERIAS,JALISCO,,,,,,,,,,,
DR.,"VEL?ZQUEZ V?ZQUEZ,DANIEL",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES ARAGON,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"TAPIA CARL?N,REBECA ELENA",M,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE LENGUAS,PUEBLA,,,,,,,,,,,
DR.,"PARDO FERNANDEZ,RODRIGO",H,1,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,ESCUELA DE LENGUA Y LITERATURAS HISPANICAS,MICHOACAN,,,,,,,,,,,
DR.,"CERVANTES KARDASCH,VICTOR HUGO",H,C,,UNIVERSIDAD DE COLIMA,CAMPUS COLIMA,COLIMA,,,,,,,,,,,
DRA.,"CASTILLO HERNANDEZ,MARIA DEL CARMEN",M,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE MEDICINA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JARAMILLO SOTO,GABRIEL",H,1,,SIGNA S.A. DE C.V.,SIGNA S.A. DE C.V.,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"GARC?A PAVËN,RAFAEL",H,1,,UNIVERSIDAD ANAHUAC DEL NORTE,UNIVERSIDAD ANAHUAC DEL NORTE,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"GARCIA MARQUEZ,LUIS JORGE",H,1,,UNIVERSIDAD DE COLIMA,CAMPUS TECOMAN,COLIMA,,,,,,,,,,,
DR.,"GARZA GARCIA,JESUS GUSTAVO",H,C,,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"BAUTISTA QUINTERO,RICARDO",H,C,,INSTITUTO TECNOLOGICO DE CULIACAN,INSTITUTO TECNOLOGICO DE CULIACAN,SINALOA,,,,,,,,,,,
QUIM.,"CRUZ RIVERA,MAYRA YOLANDA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ROJAS CASTRO,MA. OVIDIA",M,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,FACULTAD DE DERECHO Y CIENCIAS SOCIALES,MICHOACAN,,,,,,,,,,,
DRA.,"AGUIRRE GIL,MARTHA GISELA",M,C,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE FISICA,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"BLANCO VEGA,HUMBERTO",H,1,,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,FACULTAD DE EDUCACION FISICA Y CIENCIAS DEL DEPORTE,CHIHUAHUA,,,,,,,,,,,
DRA.,"ALDANA UGARTE,LUZ GABRIELA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE DERECHO,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ORNELAS CONTRERAS,MARTHA",M,1,,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,FACULTAD DE EDUCACION FISICA Y CIENCIAS DEL DEPORTE,CHIHUAHUA,,,,,,,,,,,
DR.,"SANCHEZ GONZALEZ,VICTOR JAVIER",H,C,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS BIOLOGICAS Y AGROPECUARIAS,JALISCO,,,,,,,,,,,
DR.,"BORQUEZ GASTELUM,JOSE LUIS",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,"M?XICO, EDO. DE",,,,,,,,,,,
M. EN C.,"MARTINEZ MARTINEZ,LAURA ALINE",M,1,,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,DIRECCION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"FIGUEROA MEJ?A,GIOVANNI AZAEL",H,1,,UNIVERSIDAD AUTONOMA DE NAYARIT,UNIDAD ACADEMICA DE DERECHO,NAYARIT,,,,,,,,,,,
DRA.,"LOERA ARIAS,MARIA DE JESUS",M,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE MEDICINA,NUEVO LEON,,,,,,,,,,,
M. EN C.,"HERN?NDEZ FLORES,JOS? LUIS",H,C,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,UNIDAD IRAPUATO,GUANAJUATO,,,,,,,,,,,
DR.,"MOJICA MARIN,VIRGILIO",H,C,,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,CAMPUS DURANGO,DURANGO,,,,,,,,,,,
DRA.,"RODR?GUEZ BULNES,MA. GUADALUPE",M,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE FILOSOFIA Y LETRAS,NUEVO LEON,,,,,,,,,,,
DRA.,"RODRIGUEZ SANCHEZ,SARA VERONICA",M,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE INGENIERIA MECANICA Y ELECTRICA,NUEVO LEON,,,,,,,,,,,
DR.,"ARELLANES ROBLEDO,JAIME",H,1,,INSTITUTO NACIONAL DE MEDICINA GENOMICA,INSTITUTO NACIONAL DE MEDICINA GENOMICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"TEPPER GARCIA,THORSTEN",H,1,,UNIVERSITAET POTSDAM,UNIVERSITAET POTSDAM,NO DISPONIBLE,,,,,,,,,,,
DRA.,"CASTRO SANCHEZ,MARIA EUGENIA",M,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,INSTITUTO DE CIENCIAS,PUEBLA,,,,,,,,,,,
DR.,"LEZAMA PACHECO,JUAN SALVADOR",H,C,,UNIVERSIDAD DE STANFORD,UNIVERSIDAD DE STANFORD,NO DISPONIBLE,,,,,,,,,,,
DR.,"VELAZQUEZ ALTAMIRANO,JULIO CESAR",H,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE ING. QUIMICA E INDUSTRIAS EXTRACTIVAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"BERALDI CAMPESI,HUGO BRUNO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE GEOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"PACHECO PANTOJA,ELDA LEONOR",M,1,,UNIVERSIDAD ANAHUAC MAYAB,UNIVERSIDAD ANAHUAC MAYAB,YUCATAN,,,,,,,,,,,
DR.,"CASTRO GUERRERO,CARLOS FERNANDO",H,1,,INSTITUTO TECNOLOGICO DE CIUDAD MADERO,INSTITUTO TECNOLOGICO DE CIUDAD MADERO,TAMAULIPAS,,,,,,,,,,,
DR.,"FIGUEROA SALDIVAR,MARIO ALBERTO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CERVANTES SODI,BERNARDO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE RADIOASTRONOMIA Y ASTROFISICA,MICHOACAN,,,,,,,,,,,
DR.,"SOLIS ALFARO,JORGE",H,1,,WASEDA UNIVERSITY,WASEDA UNIVERSITY,NO DISPONIBLE,,,,,,,,,,,
DR.,"BELLO JIMENEZ,MIGUEL ANGEL",H,1,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE INVESTIGACION EN COMUNICACION OPTICA,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"SANCHEZ COLIN,ANGEL ENRIQUE",H,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FISICO-MATEMATICAS,NUEVO LEON,,,,,,,,,,,
DR.,"RODRIGUEZ MEDINA,MANUEL SALVADOR",H,3,,CENTRO DE INVESTIGACION COOPERATIVA EN BIOCIENCIAS,CENTRO DE INVESTIGACION COOPERATIVA EN BIOCIENCIAS,NO DISPONIBLE,,,,,,,,,,,
DR.,"MART?NEZ MIRANDA,JUAN CRISËFORO",H,C,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.","CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",BAJA CALIFORNIA,,,,,,,,,,,
DR.,"VERDIN RAMOS,JORGE ALBERTO",H,1,,CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÐO DEL EDO. DE JALISCO,DIVISION DE BIOTECNOLOGIA,JALISCO,,,,,,,,,,,
DR.,"MARTINEZ NAVARRO,JOSE",H,1,,UNIVERSIDAD DE TEXAS DEL NORTE,UNIVERSIDAD DE TEXAS DEL NORTE,NO DISPONIBLE,,,,,,,,,,,
DRA.,"HERNANDEZ CUEVAS,NORA ADRIANA",M,C,,INSTITUTO PASTEUR,INSTITUTO PASTEUR,NO DISPONIBLE,,,,,,,,,,,
DR.,"SOTRES BAYON,FRANCISCO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISIOLOGIA CELULAR,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"SILVA JIMENEZ,HORTENCIA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISIOLOGIA CELULAR,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MAYEN MONDRAGON,RODRIGO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,PROGRAMA POLO UNIVERSITARIO DE TECNOLOGIA AVANZADA,NUEVO LEON,,,,,,,,,,,
DRA.,"SANCHEZ DOMINGUEZ,MARGARITA",M,2,,"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.",DIRECCION UNIDAD MONTERREY,NUEVO LEON,,,,,,,,,,,
DR.,"RAMOS MURILLO,MANUEL ANTONIO",H,1,,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,INSTITUTO DE INGENIERIA Y TECNOLOGIA,CHIHUAHUA,,,,,,,,,,,
DR.,"MENDOZA ESPINOSA,DANIEL",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD AZCAPOTZALCO,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"VARGAS HERNANDEZ,MARIA DE LOS ANGELES",M,1,,TECNOLOGICO DE ESTUDIOS SUPERIORES DE ECATEPEC,TECNOLOGICO DE ESTUDIOS SUPERIORES DE ECATEPEC,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"HERNANDEZ CORONADO,HECTOR",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SANABRIA HERNANDEZ,HUGO",H,1,,UNIVERSIDAD HEINRICH-HEINE DE LA CIUDAD DE DUSSELDORF,UNIVERSIDAD HEINRICH-HEINE DE LA CIUDAD DE DUSSELDORF,NO DISPONIBLE,,,,,,,,,,,
DRA.,"MATEOS HANCOCK,MARIANA",M,2,,UNIVERSIDAD DE TEXAS A & M,UNIVERSIDAD DE TEXAS A & M,NO DISPONIBLE,,,,,,,,,,,
DRA.,"PEDRAZA MORALES,MARIA ISABEL",M,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE CIENCIAS FISICO-MATEMATICAS,PUEBLA,,,,,,,,,,,
DR.,"PEÐA CASTRO,JULIAN MARIO",H,C,,UNIVERSIDAD DEL PAPALOAPAN,CAMPUS TUXTEPEC,OAXACA,,,,,,,,,,,
DR.,"ALATORRE CEJUDO,LUIS CARLOS",H,1,,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,INSTITUTO DE ARQUITECTURA DISEÐO Y ARTE,CHIHUAHUA,,,,,,,,,,,
DR.,"DE LA TORRE MEDINA,JOAQUIN",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN MATERIALES,MICHOACAN,,,,,,,,,,,
DRA.,"MARTIN QUINTAL,ZHELMY DEL ROCIO",M,C,,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE QUIMICA,YUCATAN,,,,,,,,,,,
DRA.,"SAMANO SALAZAR,CYNTHIA GABRIELA",M,C,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ZAVALA PEREZ,MIGUEL ANGEL",H,1,,MOLINA CENTER FOR ENERGY AND THE ENVIRONMENT,MOLINA CENTER FOR ENERGY AND THE ENVIRONMENT,NO DISPONIBLE,,,,,,,,,,,
DRA.,"TENORIO ARVIDE,MARIA GUADALUPE",M,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,INSTITUTO DE CIENCIAS,PUEBLA,,,,,,,,,,,
DR.,"MEZA GARCIA,ENRIQUE",H,1,,UNIVERSIDAD TECNICA DE CHEMNITZ,UNIVERSIDAD TECNICA DE CHEMNITZ,NO DISPONIBLE,,,,,,,,,,,
DR.,"ROSALES ORTEGA,FERNANDO FABIAN",H,1,,INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,AREA ASTROFISICA,PUEBLA,,,,,,,,,,,
DR.,"GUTIERREZ JUAREZ,ROGER",H,2,,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,NO DISPONIBLE,,,,,,,,,,,
DRA.,"MORALES VEGA,DINORA ARACELI",M,C,,UNIVERSIDAD POLITECNICA DE MADRID,UNIVERSIDAD POLITECNICA DE MADRID,NO DISPONIBLE,,,,,,,,,,,
DR.,"ACEVES LARA,CESAR ARTURO",H,1,,INSTITUTO NACIONAL DE CIENCIAS APLICADAS,INSTITUTO NACIONAL DE CIENCIAS APLICADAS,NO DISPONIBLE,,,,,,,,,,,
DR.,"CEBALLOS HERRERA,DANIEL ENRIQUE",H,C,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FISICO-MATEMATICAS,NUEVO LEON,,,,,,,,,,,
DR.,"BASURTO ISLAS,GUSTAVO",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CRUZ HIPËLITO,HUGO ENRIQUE",H,1,,UNIVERSIDAD DE CORDOBA,UNIVERSIDAD DE CORDOBA,NO DISPONIBLE,,,,,,,,,,,
DR.,"CASTAÐOS LUNA,FERNANDO",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE CONTROL AUTOMATICO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PEREZ GARMENDIA,JOSE LUIS ANGEL",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN MATEMATICAS APLICADAS..IIMAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"NIGOCHE NETRO,ALBERTO",H,1,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERIAS,JALISCO,,,,,,,,,,,
DRA.,"OSORIO GUTIERREZ,MAYRA C",M,1,,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS DE ESPAÐA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS DE ESPAÐA,NO DISPONIBLE,,,,,,,,,,,
DRA.,"ARENAS HUERTERO,CATALINA",M,1,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,FACULTAD DE CIENCIAS,SAN LUIS POTOSI,,,,,,,,,,,
DRA.,"NAVARRO ALVAREZ,NALU",M,2,,UNIVERSIDAD DE HARVARD,UNIVERSIDAD DE HARVARD,NO DISPONIBLE,,,,,,,,,,,
DR.,"MIRANDA DE LA LAMA,GENARO CVABODNI",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD LERMA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"BARRERA FIGUEROA,BLANCA ESTELA",M,C,,UNIVERSIDAD DEL PAPALOAPAN,CAMPUS TUXTEPEC,OAXACA,,,,,,,,,,,
DRA.,"ESPINOSA DE LOS MONTEROS BASULTO,MARIA DOL",M,2,,UNIVERSIDAD DE CALIFORNIA LOS ANGELES,UNIVERSIDAD DE CALIFORNIA LOS ANGELES,NO DISPONIBLE,,,,,,,,,,,
DR.,"TORRES PEREZ,VICTOR MANUEL FERNANDO",H,C,,UNIVERSIDAD DE PARIS 7,UNIVERSIDAD DE PARIS 7,NO DISPONIBLE,,,,,,,,,,,
DRA.,"ROSIQUE CEDILLO,GLORIA JOSEFINA",M,1,,UNIVERSIDAD CARLOS III DE MADRID,UNIVERSIDAD CARLOS III DE MADRID,NO DISPONIBLE,,,,,,,,,,,
DRA.,"PEREZ SUAREZ,MARLIN",M,C,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,INSTITUTO DE CIENCIAS AGROPECUARIAS Y RURALES,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"VILLA DIAZ,LUIS GERARDO",H,1,,UNIVERSIDAD DE MICHIGAN,UNIVERSIDAD DE MICHIGAN,NO DISPONIBLE,,,,,,,,,,,
DR.,"RAMIREZ HERNANDEZ,ABELARDO",H,1,,UNIVERSIDAD DE WISCONSIN EN MADISON,UNIVERSIDAD DE WISCONSIN EN MADISON,NO DISPONIBLE,,,,,,,,,,,
DR.,"MEDELLIN AZUARA,JOSUE",H,1,,UNIVERSIDAD DE CALIFORNIA DAVIS,UNIVERSIDAD DE CALIFORNIA DAVIS,NO DISPONIBLE,,,,,,,,,,,
DR.,"BARCENAS TORRES,NOE",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE CIENCIAS MATEMATICAS,MICHOACAN,,,,,,,,,,,
DR.,"CABRALES ARRIAGA,LUIS EDGAR",H,1,,TEXAS TECH UNIVERSITY,TEXAS TECH UNIVERSITY,NO DISPONIBLE,,,,,,,,,,,
DR.,"MORALES AGISS,IRVING OMAR",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GARZA VILLARREAL,EDUARDO ADRIAN",H,1,,INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÐIZ,INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÐIZ,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"MEDINA MEDINA,DORA ILIANA",M,1,,"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.","CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.",CHIHUAHUA,,,,,,,,,,,
DR.,"LANDERO FIGUEROA,JULIO ALBERTO",H,1,,UNIVERSIDAD DE CINCINATI,UNIVERSIDAD DE CINCINATI,NO DISPONIBLE,,,,,,,,,,,
DR.,"FLORES JASSO,CARLOS FABIAN",H,1,,SIN INSTITUCION,,NO DISPONIBLE,,,,,,,,,,,
DRA.,"MONTES RODRIGUEZ,CORINNE JENNIFER",M,1,,UNIVERSITY OF LETHBRIDGE,UNIVERSITY OF LETHBRIDGE,NO DISPONIBLE,,,,,,,,,,,
DR.,"HERRERA VALENCIA,EDSON EMILIO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES ZARAGOZA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MORONES RAMIREZ,JOSE RUBEN",H,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS QUIMICAS,NUEVO LEON,,,,,,,,,,,
DR.,"SOLORZANO MATA,CARLOS JOSUE",H,C,,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,FACULTAD DE MEDICINA Y CIRUGIA,OAXACA,,,,,,,,,,,
